,codename,guname,title,date,place,org_name,use_trgt,use_fee,player,program,etc_desc,org_link,main_img,rgstdate,ticket,strtdate,end_date,themecode
2286,기타,중구,[서울애니메이션센터] 도심 속 문화체험공간! 만화도서관 & 애니소풍,2021-10-01~2021-10-31,"서울애니메이션센터 1,2층",,어린이/청소년/성인,"만화의집(무료) / 유료(애니소풍) 성인 4,000원, 어린이 6,000원",,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=726ff3d7c3854ada923d5e6b2c23757c&thumb=Y,2021-09-06,기관,2021-10-01 00:00:00.0,2021-10-31 00:00:00.0,기타
2287,전시/미술,구로구,[구로의책]꼬마 거미 친구 ㅇㅇㅇ,2021-10-01~2021-10-31,하늘도서관 1층 어린이열람실,,5-9세 아동,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=377a8a409c0c40a5a1a2bb834c72d7cc&thumb=Y,2021-09-13,기관,2021-10-01 00:00:00.0,2021-10-31 00:00:00.0,
2288,전시/미술,강남구,박진우 개인전,2021-10-01~2021-10-30,강남구 도산대로81길 40 LUKA511 3층 올리비아박 갤러리 1관,올리비아박 갤러리,누구나,,,,,www.oliviaparkgallery.com,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5e06f00598334d8d8880cc4784a92e97&thumb=Y,2021-09-29,시민,2021-10-01 00:00:00.0,2021-10-30 00:00:00.0,기타
2289,전시/미술,강남구,최승애 개인전 ,2021-10-01~2021-10-30,강남구 도산대로81길 40 LUKA511 3층 올리비아박 갤러리 2관,올리비아박 갤러리,누구나,,,,,www.oliviaparkgallery.com,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3b7be5e14cb34d8ab330cf278c101089&thumb=Y,2021-09-29,시민,2021-10-01 00:00:00.0,2021-10-30 00:00:00.0,기타
2290,전시/미술,강남구,강태현 개인전,2021-10-01~2021-10-30,강남구 도산대로81길 40 LUKA511 3층 올리비아박 갤러리 2관,올리비아박 갤러리,누구나,,,,,www.oliviaparkgallery.com,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b03a65d23182452ba51273daa050186b&thumb=Y,2021-09-29,시민,2021-10-01 00:00:00.0,2021-10-30 00:00:00.0,기타
2291,문화교양/강좌,구로구,(저학년)그림책으로 배우는 인문학,2021-10-01~2021-10-29,하늘도서관 ZOOM,,8-9세 아동,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f07f3766f3504328978a04514b43e33a&thumb=Y,2021-09-13,기관,2021-10-01 00:00:00.0,2021-10-29 00:00:00.0,
2292,문화교양/강좌,구로구,(고학년)그림책으로 배우는 인문학,2021-10-01~2021-10-29,하늘도서관 ZOOM,,10-13세 아동,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0e27686a88d04dcb917f135a5f6c5faf&thumb=Y,2021-09-13,기관,2021-10-01 00:00:00.0,2021-10-29 00:00:00.0,
2293,기타,마포구,"[서강도서관] [서강동네배움터] 공존을 위한 한 걸음, 크래프티비즘(craftivism) (김하림) ",2021-10-01~2021-10-22,3층 세미나실,,일반 10명,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d43128d30a484eeb916ef2f3a8cf5c42&thumb=Y,2021-09-05,기관,2021-10-01 00:00:00.0,2021-10-22 00:00:00.0,기타
2294,문화교양/강좌,구로구,[구로구립]꿈마을도서관 <1년 독서  프로젝트! #10월>,2021-10-01~2021-10-15,온라인(ZOOM)강의,,성인,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=11d72abb6a1c418abee398d56a443618&thumb=Y,2021-09-10,기관,2021-10-01 00:00:00.0,2021-10-15 00:00:00.0,기타
2295,축제-전통/역사,중구,제9회 한양도성문화제,2021-10-01~2021-10-10,한양도성 일원(주 행사장 : 한양도성 유적전시관),,전 연령대,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ea20e6cbcd794bd6970a711abbfbbc29&thumb=Y,2021-09-13,기관,2021-10-01 00:00:00.0,2021-10-10 00:00:00.0,기타
