building_addr,purpose
서울특별시 중구 정동 11-3 두비빌딩,교육연구시설
서울특별시 중구 정동 27-3 서울창덕여자중학교,교육연구시설
서울특별시 중구 정동 32-1,교육연구시설
서울특별시 중구 정동 32-1 본관,교육연구시설
서울특별시 중구 정동 32-1 심슨기념관,교육연구시설
서울특별시 중구 정동 32-1 이화100주년 기념관,교육연구시설
서울특별시 중구 정동 34,교육연구시설
서울특별시 중구 정동 34-5 배재정동빌딩(동관),교육연구시설
서울특별시 중구 주교동 321,교육연구시설
서울특별시 중구 주교동 5,교육연구시설
서울특별시 중구 주교동 6-1,교육연구시설
서울특별시 중구 주교동 6-1,교육연구시설
서울특별시 중구 주교동 96-1,교육연구시설
서울특별시 중구 중림동 166-2,교육연구시설
서울특별시 중구 초동 10-1,교육연구시설
서울특별시 중구 초동 106-2,교육연구시설
서울특별시 중구 충무로3가 33-1,교육연구시설
서울특별시 중구 충무로3가 56-22,교육연구시설
서울특별시 중구 충무로3가 59-23,교육연구시설
서울특별시 중구 충무로3가 59-8,교육연구시설
서울특별시 중구 충무로5가 18-1,교육연구시설
서울특별시 중구 충정로1가 36-1,교육연구시설
서울특별시 중구 충정로1가 36-1,교육연구시설
서울특별시 중구 태평로1가 31-23,교육연구시설
서울특별시 중구 태평로1가 60,교육연구시설
서울특별시 중구 필동2가 101-10,교육연구시설
서울특별시 중구 필동2가 101-5 교육동,교육연구시설
서울특별시 중구 필동2가 102 필동경영연구소,교육연구시설
서울특별시 중구 필동2가 82-1 동국대학교 충무로 영상센터,교육연구시설
서울특별시 중구 필동3가 28-1,교육연구시설
서울특별시 중구 황학동 2487 민족통일대통령 빌딩,업무시설
서울특별시 중구 회현동1가 1-2,교육연구시설
서울특별시 중구 회현동1가 100-177,교육연구시설
서울특별시 중구 회현동1가 100-239,교육연구시설
서울특별시 중구 회현동1가 100-48 정화예술대학교 남산캠퍼스,교육연구시설
서울특별시 중구 회현동1가 142-3 정화예술대학 회현캠퍼스(A동),교육연구시설
서울특별시 중구 회현동1가 142-3 정화예술대학 회현캠퍼스(B동),교육연구시설
서울특별시 중구 회현동1가 63-2,교육연구시설
서울특별시 중구 회현동1가 74-1,제2종근린생활시설
서울특별시 중구 회현동2가 60-2,교육연구시설
서울특별시 중구 흥인동 1-1 성동공업고등학교,교육연구시설
서울특별시 중구 흥인동 1-1 창조관(실습동),교육연구시설
서울특별시 중구 흥인동 1-1 창조관(실습동),교육연구시설
서울특별시 중구 흥인동 1-1 창조관(실습동),교육연구시설
서울특별시 중구 흥인동 1-1 창조관(실습동),교육연구시설
서울특별시 중구 흥인동 14,교육연구시설
서울특별시 중구 흥인동 14,교육연구시설
서울특별시 중구 흥인동 14,교육연구시설
서울특별시 중구 흥인동 14,교육연구시설
서울특별시 중구 흥인동 14,교육연구시설
서울특별시 중구 흥인동 14,교육연구시설
서울특별시 중구 흥인동 14,교육연구시설
서울특별시 중구 흥인동 14,교육연구시설
서울특별시 중구 흥인동 14,교육연구시설
서울특별시 중구 흥인동 14,교육연구시설
서울특별시 중구 흥인동 14,교육연구시설
서울특별시 중구 흥인동 14,교육연구시설
서울특별시 중구 흥인동 14,교육연구시설
서울특별시 중구 흥인동 14,교육연구시설
서울특별시 중구 흥인동 14,교육연구시설
서울특별시 중구 흥인동 14,교육연구시설
서울특별시 중구 흥인동 14,교육연구시설
서울특별시 중구 흥인동 14,교육연구시설
서울특별시 중구 흥인동 14-28,교육연구시설
서울특별시 중구 흥인동 14-34 (17호),교육연구시설
서울특별시 중구 흥인동 14-46,교육연구시설
서울특별시 중구 흥인동 14-48,교육연구시설
서울특별시 중구 흥인동 16-1,교육연구시설
서울특별시 중구 광희동1가 143-2,업무시설
서울특별시 중구 광희동1가 193-7 평안빌딩,업무시설
서울특별시 중구 광희동1가 216,업무시설
서울특별시 중구 광희동1가 237 광희빌딩별관,업무시설
서울특별시 중구 광희동1가 303-1,업무시설
서울특별시 중구 광희동1가 8-1,업무시설
서울특별시 중구 광희동1가 80-1,업무시설
서울특별시 중구 광희동1가 89-1 광희동금호트윈오피스텔(1동),업무시설
서울특별시 중구 광희동1가 89-1 광희동금호트윈오피스텔(2동),업무시설
서울특별시 중구 광희동2가 194-1 성진오피스텔(성진오피스텔),업무시설
서울특별시 중구 광희동2가 266 광희동2가 2660000 (이혜영) 성우빌딩(성우빌딩),업무시설
서울특별시 중구 광희동2가 303-1,업무시설
서울특별시 중구 광희동2가 319,업무시설
서울특별시 중구 광희동2가 360,업무시설
서울특별시 중구 광희동2가 47-2 동원스위트광희,업무시설
서울특별시 중구 남대문로1가 108-1,업무시설
서울특별시 중구 남대문로1가 18,업무시설
서울특별시 중구 남대문로1가 19 (주)우리은행 종로지점,업무시설
서울특별시 중구 남대문로1가 93-1,업무시설
서울특별시 중구 남대문로2가 111-1 한국은행 소공별관,업무시설
서울특별시 중구 남대문로2가 5-3,업무시설
